3;-62
-58;6
-28;-35
-31;-37
-14;-36
57;-38
-52;-39
-32;-27
36;-2
-37;31
44;-2
-47;-74
55;13
-11;17
8;-15
20;-57
-31;-17
44;71
-37;53
30;7
-79;2
-4;48
45;28
-8;-27
60;-55
-25;44
-66;-95
75;4
79;-45
24;-25
-11;-14
-26;-6
18;-11
-44;-21
77;5
43;-3
16;-2
7;9
-73;27
5;34
9;-36
9;-93
30;-10
-31;48
38;-23
19;-9
-68;-53
37;8
58;10
-32;1
-72;20
25;34
14;60
-52;79
19;13
9;-47
46;34
32;13
22;-90
-51;-37
6;-56
22;-18
-1;-4
-31;-73
16;-18
43;8
-24;13
-38;36
47;-29
3;-42
-51;61
3;-18
-3;14
55;5
40;-44
-6;-34
-29;11
-61;-75
24;-50
-26;45
-5;59
34;80
-17;-28
27;23
23;-26
4;47
-15;54
-20;-22
60;77
2;-85
-8;66
72;17
23;-90
-10;3
5;-18
5;-88
46;9
-7;33
-42;4
-63;26
-59;-60
-63;-59
-69;-69
-67;-59
-64;-59
-54;-64
-64;-59
-61;-65
-58;-57
-59;-60
-51;-57
-59;-68
-60;-61
-54;-64
-54;-68
-64;-63
-57;-56
-63;-67
-66;-59
-68;-60
-67;-51
-65;-52
-51;-55
-59;-58
-61;-59
-67;-53
-65;-68
-70;-54
-70;-53
-59;-54
-51;-52
-58;-69
-70;-62
-66;-65
-70;-63
-66;-58
-55;-60
-60;-55
-56;-60
-54;-66
-68;-51
-69;-62
-60;-60
-58;-59
-63;-66
-54;-55
-60;-61
-53;-51
-52;-60
-57;-63
52;53
51;68
54;52
52;60
61;56
67;58
68;65
61;57
55;68
65;59
56;69
63;57
51;57
57;65
67;63
69;60
57;61
58;61
62;51
62;64
68;58
63;57
65;66
63;61
63;70
61;60
60;65
66;52
51;64
58;59
69;57
61;55
67;68
57;51
60;68
56;70
68;69
56;54
64;69
64;68
60;54
58;69
68;65
62;60
51;70
69;69
56;59
65;64
68;52
64;69
