3;-62;1
-58;6;1
-28;-35;1
-31;-37;1
-14;-36;1
57;-38;1
-52;-39;1
-32;-27;1
36;-2;1
-37;31;1
44;-2;1
-47;-74;1
55;13;1
-11;17;1
8;-15;1
20;-57;1
-31;-17;1
44;71;1
-37;53;1
30;7;1
-79;2;1
-4;48;1
45;28;1
-8;-27;1
60;-55;1
-25;44;1
-66;-95;1
75;4;1
79;-45;1
24;-25;1
-11;-14;1
-26;-6;1
18;-11;1
-44;-21;1
77;5;1
43;-3;1
16;-2;1
7;9;1
-73;27;1
5;34;1
9;-36;1
9;-93;1
30;-10;1
-31;48;1
38;-23;1
19;-9;1
-68;-53;2
37;8;1
58;10;1
-32;1;1
-72;20;1
25;34;1
14;60;1
-52;79;1
19;13;1
9;-47;1
46;34;1
32;13;1
22;-90;1
-51;-37;1
6;-56;1
22;-18;1
-1;-4;1
-31;-73;1
16;-18;1
43;8;1
-24;13;1
-38;36;1
47;-29;1
3;-42;1
-51;61;1
3;-18;1
-3;14;1
55;5;1
40;-44;1
-6;-34;1
-29;11;1
-61;-75;1
24;-50;1
-26;45;1
-5;59;1
34;80;1
-17;-28;1
27;23;1
23;-26;1
4;47;1
-15;54;1
-20;-22;1
60;77;1
2;-85;1
-8;66;1
72;17;1
23;-90;1
-10;3;1
5;-18;1
5;-88;1
46;9;1
-7;33;1
-42;4;1
-63;26;1
-59;-60;2
-63;-59;2
-69;-69;2
-67;-59;2
-64;-59;2
-54;-64;2
-64;-59;2
-61;-65;2
-58;-57;2
-59;-60;2
-51;-57;2
-59;-68;2
-60;-61;2
-54;-64;2
-54;-68;2
-64;-63;2
-57;-56;2
-63;-67;2
-66;-59;2
-68;-60;2
-67;-51;2
-65;-52;2
-51;-55;2
-59;-58;2
-61;-59;2
-67;-53;2
-65;-68;2
-70;-54;2
-70;-53;2
-59;-54;2
-51;-52;2
-58;-69;2
-70;-62;2
-66;-65;2
-70;-63;2
-66;-58;2
-55;-60;2
-60;-55;2
-56;-60;2
-54;-66;2
-68;-51;2
-69;-62;2
-60;-60;2
-58;-59;2
-63;-66;2
-54;-55;2
-60;-61;2
-53;-51;2
-52;-60;2
-57;-63;2
52;53;0
51;68;0
54;52;0
52;60;0
61;56;0
67;58;0
68;65;0
61;57;0
55;68;0
65;59;0
56;69;0
63;57;0
51;57;0
57;65;0
67;63;0
69;60;0
57;61;0
58;61;0
62;51;0
62;64;0
68;58;0
63;57;0
65;66;0
63;61;0
63;70;0
61;60;0
60;65;0
66;52;0
51;64;0
58;59;0
69;57;0
61;55;0
67;68;0
57;51;0
60;68;0
56;70;0
68;69;0
56;54;0
64;69;0
64;68;0
60;54;0
58;69;0
68;65;0
62;60;0
51;70;0
69;69;0
56;59;0
65;64;0
68;52;0
64;69;0
